Time,Driver,LapTime,NumberOfLaps,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest
0 days 00:16:41.521000,44,0 days 00:02:11.043000,1,0,0 days 00:14:39.185000,,0 days 00:01:10.077000,0 days 00:00:22.176000,0 days 00:00:38.790000,0 days 00:15:40.657000,0 days 00:16:02.762000,0 days 00:16:41.602000,248.0,260.0,308.0,128.0,False
0 days 00:17:58.265000,44,0 days 00:01:16.744000,2,0,,,0 days 00:00:26.490000,0 days 00:00:17.391000,0 days 00:00:32.863000,0 days 00:17:08.011000,0 days 00:17:25.402000,0 days 00:17:58.265000,290.0,319.0,306.0,323.0,True
0 days 00:20:18.719000,44,0 days 00:02:20.454000,3,1,,0 days 00:19:44.551000,0 days 00:00:38.912000,0 days 00:00:22.170000,0 days 00:01:19.372000,0 days 00:18:37.177000,0 days 00:18:59.347000,0 days 00:20:18.719000,228.0,265.0,,191.0,False
0 days 00:22:16.505000,44,0 days 00:01:57.786000,4,1,0 days 00:20:28.565000,,0 days 00:00:53.845000,0 days 00:00:23.627000,0 days 00:00:40.314000,0 days 00:21:12.564000,0 days 00:21:36.191000,0 days 00:22:16.505000,248.0,239.0,311.0,143.0,False
0 days 00:23:32.907000,44,0 days 00:01:16.402000,5,1,,,0 days 00:00:26.451000,0 days 00:00:17.243000,0 days 00:00:32.708000,0 days 00:22:42.956000,0 days 00:23:00.199000,0 days 00:23:32.907000,290.0,326.0,306.0,327.0,True
0 days 00:27:26.188000,44,,6,2,,0 days 00:25:10.009000,0 days 00:00:37.484000,0 days 00:00:20.687000,,0 days 00:24:10.435000,0 days 00:24:31.196000,,251.0,207.0,,220.0,False
0 days 00:29:46.218000,44,0 days 00:02:20.030000,7,2,0 days 00:27:34.566000,,0 days 00:01:15.169000,0 days 00:00:20.642000,0 days 00:00:44.219000,0 days 00:28:41.357000,0 days 00:29:01.999000,0 days 00:29:46.218000,155.0,289.0,312.0,100.0,False
0 days 00:31:02.431000,44,0 days 00:01:16.213000,8,2,,,0 days 00:00:26.347000,0 days 00:00:17.224000,0 days 00:00:32.642000,0 days 00:30:12.565000,0 days 00:30:29.789000,0 days 00:31:02.431000,290.0,323.0,305.0,330.0,True
0 days 00:37:35.836000,44,,9,3,,0 days 00:32:45.725000,0 days 00:00:33.848000,0 days 00:00:25.052000,,0 days 00:31:36.457000,0 days 00:32:01.419000,,243.0,207.0,,239.0,False
0 days 00:39:40.612000,44,0 days 00:02:04.776000,10,3,0 days 00:37:44.859000,,0 days 00:01:01.174000,0 days 00:00:22.748000,0 days 00:00:40.854000,0 days 00:38:37.010000,0 days 00:38:59.758000,0 days 00:39:40.612000,234.0,268.0,304.0,140.0,False
