Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 01:01:59.350000,1,2,+1.454,+1.454
0 days 01:02:04.984000,1,2,+1.364,+1.364
0 days 01:02:09.693000,1,2,+1.471,+1.471
0 days 01:02:13.665000,1,2,+1.517,+1.517
0 days 01:02:19.838000,1,2,+1.476,+1.476
0 days 01:02:25.165000,1,2,+1.425,+1.425
0 days 01:02:29.447000,1,2,+1.419,+1.419
0 days 01:02:34.265000,1,2,+1.430,+1.430
0 days 01:02:38.040000,1,2,+1.436,+1.436
0 days 01:02:46.491000,1,2,+1.441,+1.441
0 days 01:02:50.384000,1,2,+1.464,+1.464
0 days 01:02:51.255000,1,2,+1.439,+1.439
0 days 01:02:55.606000,1,2,+1.456,+1.456
0 days 01:03:01.095000,1,2,+1.440,+1.440
0 days 01:03:03.364000,1,2,+1.330,+1.330
0 days 01:03:13.982000,1,2,+1.329,+1.329
0 days 01:03:18.360000,1,2,+1.415,+1.415
0 days 01:03:21.210000,1,2,+1.419,+1.419
0 days 01:03:28.335000,1,2,+1.377,+1.377
0 days 01:03:32.092000,1,2,+1.378,+1.378
0 days 01:03:36.124000,1,2,+1.415,+1.415
0 days 01:03:41.960000,1,2,+1.515,+1.515
0 days 01:03:46.701000,1,2,+1.645,+1.645
0 days 01:03:50.693000,1,2,+1.694,+1.694
0 days 01:03:56.892000,1,2,+1.677,+1.677
0 days 01:04:02.317000,1,2,+1.641,+1.641
0 days 01:04:06.591000,1,2,+1.633,+1.633
0 days 01:04:11.405000,1,2,+1.628,+1.628
0 days 01:04:15.220000,1,2,+1.634,+1.634
0 days 01:04:23.679000,1,2,+1.641,+1.641
0 days 01:04:27.512000,1,2,+1.691,+1.691
0 days 01:04:28.411000,1,2,+1.704,+1.704
0 days 01:04:32.810000,1,2,+1.769,+1.769
0 days 01:04:37.210000,1,2,+1.791,+1.791
0 days 01:04:38.388000,1,2,+1.792,+1.792
0 days 01:04:40.663000,1,2,+1.772,+1.772
0 days 01:04:45.928000,1,2,+1.872,+1.872
0 days 01:04:51.366000,1,2,+1.704,+1.704
0 days 01:04:55.666000,1,2,+1.784,+1.784
0 days 01:04:58.620000,1,2,+1.789,+1.789
0 days 01:05:05.835000,1,2,+1.718,+1.718
