Time,Driver,LapTime,NumberOfLaps,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest
0 days 00:56:57.327000,1,0 days 00:01:30.867000,11,3,,,0 days 00:00:24.269000,0 days 00:00:27.361000,0 days 00:00:39.237000,0 days 00:55:50.729000,0 days 00:56:18.090000,0 days 00:56:57.327000,281.0,275.0,269.0,336.0,True
0 days 00:59:08.838000,1,0 days 00:02:11.511000,12,3,,0 days 00:59:06.275000,0 days 00:00:34.047000,0 days 00:00:38.713000,0 days 00:00:58.751000,0 days 00:57:31.374000,0 days 00:58:10.087000,0 days 00:59:08.838000,167.0,192.0,,258.0,False
0 days 00:15:11.190000,6,,1,0,0 days 00:13:18.326000,,,0 days 00:00:31.496000,0 days 00:00:49.391000,,0 days 00:14:21.860000,0 days 00:15:11.190000,255.0,259.0,268.0,296.0,False
0 days 00:16:44.024000,6,0 days 00:01:32.834000,2,0,,,0 days 00:00:24.989000,0 days 00:00:27.717000,0 days 00:00:40.128000,0 days 00:15:36.179000,0 days 00:16:03.896000,0 days 00:16:44.024000,280.0,273.0,267.0,331.0,True
0 days 00:18:56.280000,6,0 days 00:02:12.256000,3,1,,0 days 00:18:54.550000,0 days 00:00:36.518000,0 days 00:00:38.826000,0 days 00:00:56.912000,0 days 00:17:20.542000,0 days 00:17:59.368000,0 days 00:18:56.280000,161.0,242.0,,284.0,False
0 days 00:22:55.418000,6,,4,1,0 days 00:20:55.973000,,,0 days 00:00:38.704000,0 days 00:00:49.550000,,0 days 00:22:05.919000,0 days 00:22:55.574000,220.0,185.0,269.0,283.0,False
0 days 00:24:27.589000,6,0 days 00:01:32.171000,5,1,,,0 days 00:00:24.657000,0 days 00:00:27.677000,0 days 00:00:39.837000,0 days 00:23:20.075000,0 days 00:23:47.752000,0 days 00:24:27.589000,281.0,274.0,266.0,332.0,True
0 days 00:26:32.954000,6,0 days 00:02:05.365000,6,2,,0 days 00:26:31.122000,0 days 00:00:32.932000,0 days 00:00:34.895000,0 days 00:00:57.538000,0 days 00:25:00.521000,0 days 00:25:35.416000,0 days 00:26:32.954000,245.0,239.0,,261.0,False
0 days 00:39:29.737000,6,,7,2,0 days 00:37:38.208000,,,0 days 00:00:34.902000,0 days 00:00:46.136000,,0 days 00:38:43.621000,0 days 00:39:29.737000,244.0,231.0,269.0,287.0,False
0 days 00:41:33.910000,6,0 days 00:02:04.173000,8,2,,0 days 00:41:29.867000,0 days 00:00:32.237000,0 days 00:00:33.052000,0 days 00:00:58.884000,0 days 00:40:01.974000,0 days 00:40:35.026000,0 days 00:41:33.910000,175.0,265.0,,223.0,False
0 days 00:16:40.339000,30,,1,0,0 days 00:14:29.454000,,,0 days 00:00:37.281000,0 days 00:00:49.041000,,0 days 00:15:51.298000,0 days 00:16:40.524000,235.0,234.0,268.0,286.0,False
0 days 00:18:13.068000,30,0 days 00:01:32.729000,2,0,,,0 days 00:00:24.780000,0 days 00:00:27.669000,0 days 00:00:40.280000,0 days 00:17:05.119000,0 days 00:17:32.788000,0 days 00:18:13.068000,281.0,276.0,267.0,336.0,True
0 days 00:20:17.965000,30,0 days 00:02:04.897000,3,0,,,0 days 00:00:36.698000,0 days 00:00:40.052000,0 days 00:00:48.147000,0 days 00:18:49.766000,0 days 00:19:29.818000,0 days 00:20:17.965000,123.0,217.0,202.0,293.0,False
0 days 00:22:24.179000,30,0 days 00:02:06.214000,4,0,,,0 days 00:00:34.768000,0 days 00:00:41.847000,0 days 00:00:49.599000,0 days 00:20:52.733000,0 days 00:21:34.580000,0 days 00:22:24.179000,178.0,191.0,269.0,280.0,False
0 days 00:24:39.934000,30,0 days 00:02:15.755000,5,0,,0 days 00:24:36.373000,0 days 00:00:24.788000,0 days 00:00:30.133000,0 days 00:01:20.834000,0 days 00:22:48.967000,0 days 00:23:19.100000,0 days 00:24:39.934000,282.0,131.0,,204.0,False
0 days 00:14:38.165000,5,,1,0,0 days 00:12:46.910000,,,0 days 00:00:33.664000,0 days 00:00:48.081000,,0 days 00:13:50.126000,0 days 00:14:38.165000,252.0,245.0,265.0,308.0,False
0 days 00:16:11.858000,5,0 days 00:01:33.693000,2,0,,,0 days 00:00:24.998000,0 days 00:00:28.340000,0 days 00:00:40.355000,0 days 00:15:03.163000,0 days 00:15:31.503000,0 days 00:16:11.858000,281.0,274.0,268.0,332.0,True
0 days 00:18:26.307000,5,0 days 00:02:14.449000,3,1,,0 days 00:18:24.395000,0 days 00:00:35.177000,0 days 00:00:41.130000,0 days 00:00:58.142000,0 days 00:16:47.035000,0 days 00:17:28.165000,0 days 00:18:26.307000,148.0,201.0,,185.0,False
0 days 00:23:16.082000,5,,4,1,0 days 00:21:11.345000,,,0 days 00:00:36.702000,0 days 00:00:54.011000,,0 days 00:22:22.106000,0 days 00:23:16.331000,218.0,181.0,267.0,154.0,False
0 days 00:24:48.621000,5,0 days 00:01:32.539000,5,1,,,0 days 00:00:24.608000,0 days 00:00:27.854000,0 days 00:00:40.077000,0 days 00:23:40.690000,0 days 00:24:08.544000,0 days 00:24:48.621000,281.0,276.0,270.0,334.0,True
0 days 00:26:57.218000,5,0 days 00:02:08.597000,6,2,,0 days 00:26:55.063000,0 days 00:00:31.431000,0 days 00:00:37.183000,0 days 00:00:59.983000,0 days 00:25:20.052000,0 days 00:25:57.235000,0 days 00:26:57.218000,210.0,217.0,,283.0,False
0 days 00:33:38.102000,5,,7,2,0 days 00:31:47.145000,,,0 days 00:00:33.464000,0 days 00:00:48.659000,,0 days 00:32:49.601000,0 days 00:33:38.102000,254.0,249.0,268.0,304.0,False
0 days 00:35:40.034000,5,0 days 00:02:01.932000,8,2,,,0 days 00:00:25.743000,0 days 00:00:36.315000,0 days 00:00:59.874000,0 days 00:34:03.845000,0 days 00:34:40.160000,0 days 00:35:40.034000,190.0,173.0,179.0,150.0,True
