Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 01:06:56.280000,63,3,+1.551,+0.531
0 days 01:07:04.689000,63,3,+1.479,+0.561
0 days 01:07:08.741000,63,3,+1.469,+0.564
0 days 01:07:09.641000,63,3,+1.511,+0.623
0 days 01:07:14.117000,63,3,+1.513,+0.769
0 days 01:07:18.366000,63,3,+1.310,+0.802
0 days 01:07:19.520000,63,3,+1.249,+0.825
0 days 01:07:21.927000,63,3,+1.332,+0.857
0 days 01:07:27.341000,63,3,+1.704,+1.267
0 days 01:07:32.863000,63,3,+1.748,+1.170
0 days 01:07:37.230000,63,3,+1.803,+1.214
0 days 01:07:40.221000,63,3,+1.784,+1.215
0 days 01:07:47.415000,63,3,+1.801,+1.125
0 days 01:07:51.186000,63,3,+1.802,+1.122
0 days 01:07:55.299000,63,3,+1.900,+1.112
0 days 01:08:01.167000,63,3,+2.007,+1.057
0 days 01:08:06.041000,63,3,+2.175,+1.206
0 days 01:08:10.061000,63,3,+2.188,+1.241
0 days 01:08:16.396000,63,3,+2.366,+1.310
0 days 01:08:21.778000,63,3,+2.454,+1.303
0 days 01:08:26.173000,63,3,+2.459,+1.325
0 days 01:08:30.991000,63,3,+2.408,+1.304
0 days 01:08:34.776000,63,3,+2.361,+1.282
0 days 01:08:43.320000,63,3,+2.492,+1.329
0 days 01:08:47.259000,63,3,+2.474,+1.326
0 days 01:08:48.082000,63,3,+2.486,+1.346
0 days 01:08:52.557000,63,3,+2.437,+1.376
0 days 01:08:56.943000,63,3,+2.366,+1.366
0 days 01:08:58.161000,63,3,+2.352,+1.376
0 days 01:09:00.588000,63,3,+2.410,+1.435
0 days 01:09:05.915000,63,3,+2.675,+1.684
0 days 01:09:11.568000,63,3,+2.723,+1.635
0 days 01:09:15.868000,63,3,+2.778,+1.698
0 days 01:09:18.868000,63,3,+2.754,+1.693
0 days 01:09:26.043000,63,3,+2.798,+1.652
0 days 01:09:29.791000,63,3,+2.799,+1.661
0 days 01:09:33.867000,63,3,+2.664,+1.618
0 days 01:09:39.662000,63,3,+2.709,+1.567
0 days 01:09:44.535000,63,3,+2.753,+1.520
0 days 01:09:48.590000,63,3,+2.783,+1.558
0 days 01:09:54.969000,63,3,+2.949,+1.663
0 days 01:10:00.390000,63,3,+3.009,+1.664
0 days 01:10:04.742000,63,3,+3.019,+1.676
0 days 01:10:09.534000,63,3,+2.976,+1.652
0 days 01:10:13.270000,63,3,+2.937,+1.626
0 days 01:10:21.721000,63,3,+3.020,+1.598
0 days 01:10:25.716000,63,3,+3.015,+1.587
0 days 01:10:26.550000,63,3,+3.023,+1.581
0 days 01:10:31.049000,63,3,+3.003,+1.666
0 days 01:10:35.395000,63,3,+2.937,+1.662
0 days 01:10:36.646000,63,3,+2.923,+1.661
0 days 01:10:39.096000,63,3,+2.933,+1.705
0 days 01:10:44.317000,63,3,+3.126,+1.914
0 days 01:10:49.910000,63,3,+3.199,+1.846
0 days 01:10:54.242000,63,3,+3.235,+1.851
0 days 01:10:57.204000,63,3,+3.200,+1.836
0 days 01:11:04.394000,63,3,+3.182,+1.750
0 days 01:11:08.217000,63,3,+3.204,+1.764
0 days 01:11:12.290000,63,3,+3.161,+1.729
0 days 01:11:18.119000,63,3,+3.299,+1.775
0 days 01:11:23.069000,63,3,+3.389,+1.878
0 days 01:11:27.142000,63,3,+3.420,+1.925
0 days 01:11:33.443000,63,3,+3.528,+1.968
0 days 01:11:38.955000,63,3,+3.566,+2.000
0 days 01:11:43.355000,63,3,+3.563,+2.019
0 days 01:11:48.136000,63,3,+3.517,+1.986
0 days 01:11:51.903000,63,3,+3.476,+1.962
0 days 01:12:00.319000,63,3,+3.509,+1.968
0 days 01:12:04.369000,63,3,+3.486,+1.957
0 days 01:12:05.293000,63,3,+3.483,+1.970
0 days 01:12:09.749000,63,3,+3.525,+2.094
0 days 01:12:14.169000,63,3,+3.462,+2.087
0 days 01:12:15.343000,63,3,+3.442,+2.085
0 days 01:12:17.793000,63,3,+3.447,+2.134
0 days 01:12:22.977000,63,3,+3.501,+2.313
0 days 01:12:28.585000,63,3,+3.538,+2.165
0 days 01:12:32.911000,63,3,+3.594,+2.189
0 days 01:12:35.910000,63,3,+3.564,+2.169
0 days 01:12:43.047000,63,3,+3.517,+2.092
0 days 01:12:46.870000,63,3,+3.542,+2.132
0 days 01:12:50.953000,63,3,+3.483,+1.976
0 days 01:12:56.823000,63,3,+3.582,+1.964
0 days 01:13:01.736000,63,3,+3.749,+2.092
0 days 01:13:05.804000,63,3,+3.776,+2.137
0 days 01:13:12.183000,63,3,+3.951,+2.099
0 days 01:13:17.643000,63,3,+4.003,+2.183
0 days 01:13:22.029000,63,3,+4.002,+2.189
0 days 01:13:26.837000,63,3,+3.961,+2.162
0 days 01:13:30.618000,63,3,+3.922,+2.132
0 days 01:13:38.996000,63,3,+3.907,+2.049
0 days 01:13:43.005000,63,3,+3.889,+2.045
0 days 01:13:43.823000,63,3,+3.902,+2.078
0 days 01:13:48.295000,63,3,+3.883,+2.137
0 days 01:13:52.697000,63,3,+3.816,+2.113
0 days 01:13:53.911000,63,3,+3.789,+2.096
0 days 01:13:56.200000,63,3,+3.768,+2.126
0 days 01:14:01.588000,63,3,+3.988,+2.321
0 days 01:14:07.150000,63,3,+4.098,+2.417
0 days 01:14:11.473000,63,3,+4.133,+2.406
0 days 01:14:14.491000,63,3,+4.106,+2.383
0 days 01:14:21.661000,63,3,+4.060,+2.358
0 days 01:14:25.526000,63,3,+4.056,+2.383
0 days 01:14:29.515000,63,3,+4.009,+2.379
0 days 01:14:35.521000,63,3,+4.092,+2.438
0 days 01:14:40.310000,63,3,+4.181,+2.476
0 days 01:14:44.371000,63,3,+4.190,+2.500
0 days 01:14:50.650000,63,3,+4.374,+2.394
0 days 01:14:56.063000,63,3,+4.367,+2.357
0 days 01:15:00.440000,63,3,+4.342,+2.312
0 days 01:15:05.218000,63,3,+4.299,+2.274
0 days 01:15:08.974000,63,3,+4.263,+2.244
0 days 01:15:17.373000,63,3,+4.292,+2.195
0 days 01:15:21.371000,63,3,+4.260,+2.163
0 days 01:15:22.202000,63,3,+4.288,+2.171
0 days 01:15:26.718000,63,3,+4.327,+2.259
0 days 01:15:31.175000,63,3,+4.271,+2.242
0 days 01:15:32.369000,63,3,+4.254,+2.221
0 days 01:15:34.776000,63,3,+4.338,+2.368
0 days 01:15:39.933000,63,3,+4.453,+2.483
0 days 01:15:45.575000,63,3,+4.541,+2.500
0 days 01:15:49.905000,63,3,+4.556,+2.480
0 days 01:15:52.912000,63,3,+4.519,+2.458
0 days 01:15:59.971000,63,3,+4.413,+2.324
0 days 01:16:03.790000,63,3,+4.423,+2.333
0 days 01:16:07.884000,63,3,+4.424,+2.347
0 days 01:16:13.773000,63,3,+4.497,+2.332
0 days 01:16:18.600000,63,3,+4.538,+2.331
0 days 01:16:22.646000,63,3,+4.547,+2.360
0 days 01:16:28.953000,63,3,+4.686,+2.449
0 days 01:16:34.324000,63,3,+4.678,+2.391
0 days 01:16:38.718000,63,3,+4.639,+2.360
0 days 01:16:43.471000,63,3,+4.595,+2.328
0 days 01:16:47.236000,63,3,+4.560,+2.296
0 days 01:16:55.814000,63,3,+4.529,+2.314
0 days 01:16:59.710000,63,3,+4.522,+2.348
0 days 01:17:00.561000,63,3,+4.536,+2.401
0 days 01:17:05.113000,63,3,+4.578,+2.516
0 days 01:17:09.522000,63,3,+4.523,+2.504
0 days 01:17:10.710000,63,3,+4.510,+2.509
0 days 01:17:13.009000,63,3,+4.498,+2.613
0 days 01:17:18.317000,63,3,+4.570,+2.670
0 days 01:17:23.804000,63,3,+4.579,+2.608
0 days 01:17:28.164000,63,3,+4.640,+2.620
0 days 01:17:31.190000,63,3,+4.610,+2.609
0 days 01:17:38.371000,63,3,+4.599,+2.517
0 days 01:17:42.134000,63,3,+4.594,+2.525
0 days 01:17:46.227000,63,3,+4.581,+2.548
0 days 01:17:51.954000,63,3,+4.568,+2.465
0 days 01:17:56.901000,63,3,+4.606,+2.527
0 days 01:18:00.923000,63,3,+4.615,+2.560
0 days 01:18:07.226000,63,3,+4.752,+2.606
0 days 01:18:12.683000,63,3,+4.812,+2.627
0 days 01:18:17.073000,63,3,+4.803,+2.649
0 days 01:18:21.868000,63,3,+4.750,+2.613
0 days 01:18:25.619000,63,3,+4.712,+2.581
0 days 01:18:34.098000,63,3,+4.811,+2.562
0 days 01:18:38.123000,63,3,+4.808,+2.575
0 days 01:18:38.991000,63,3,+4.839,+2.637
0 days 01:18:43.496000,63,3,+4.856,+2.710
0 days 01:18:47.872000,63,3,+4.799,+2.683
